HDR,ROLLING SYSTEM DEMAND
VD,20211014164000,35556
VD,20211014164500,35685
VD,20211014165000,35885
VD,20211014165500,35998
VD,20211014170000,36069
VD,20211014170500,36090
VD,20211014171000,36224
VD,20211014171500,36301
VD,20211014172000,36336
VD,20211014172500,36367
VD,20211014173000,36397
VD,20211014173500,36663
VD,20211014174000,36685
VD,20211014174500,36637
VD,20211014175000,36606
VD,20211014175500,36592
VD,20211014180000,36425
VD,20211014180500,36211
VD,20211014181000,36303
VD,20211014181500,36189
VD,20211014182000,36106
VD,20211014182500,36005
VD,20211014183000,35752
VD,20211014183500,35704
VD,20211014184000,35608
VD,20211014184500,35468
VD,20211014185000,35334
VD,20211014185500,35044
VD,20211014190000,34858
VD,20211014190500,34779
VD,20211014191000,34660
VD,20211014191500,34419
VD,20211014192000,34183
VD,20211014192500,33877
VD,20211014193000,33609
VD,20211014193500,33482
VD,20211014194000,33249
VD,20211014194500,33007
VD,20211014195000,32828
VD,20211014195500,32609
VD,20211014200000,32314
VD,20211014200500,32211
VD,20211014201000,31901
VD,20211014201500,31615
VD,20211014202000,31351
VD,20211014202500,31059
VD,20211014203000,30849
VD,20211014203500,30616
VD,20211014204000,30366
VD,20211014204500,30209
VD,20211014205000,30010
VD,20211014205500,29698
VD,20211014210000,29211
VD,20211014210500,28720
VD,20211014211000,28478
VD,20211014211500,28176
VD,20211014212000,27894
VD,20211014212500,27550
VD,20211014213000,27307
VD,20211014213500,27143
VD,20211014214000,26973
VD,20211014214500,26784
VD,20211014215000,26564
VD,20211014215500,26375
VD,20211014220000,26244
VD,20211014220500,26204
VD,20211014221000,26078
VD,20211014221500,25753
VD,20211014222000,25470
VD,20211014222500,25001
VD,20211014223000,24987
VD,20211014223500,24846
VD,20211014224000,24847
VD,20211014224500,24680
VD,20211014225000,24504
VD,20211014225500,24219
VD,20211014230000,24054
VD,20211014230500,24076
VD,20211014231000,23922
VD,20211014231500,23680
VD,20211014232000,23634
VD,20211014232500,23614
VD,20211014233000,23610
VD,20211014233500,23661
VD,20211014234000,23441
VD,20211014234500,23464
VD,20211014235000,23385
VD,20211014235500,23284
VD,20211015000000,23274
VD,20211015000500,23463
VD,20211015001000,23579
VD,20211015001500,23467
VD,20211015002000,23437
VD,20211015002500,23347
VD,20211015003000,23355
VD,20211015003500,23401
VD,20211015004000,23309
VD,20211015004500,23356
VD,20211015005000,23304
VD,20211015005500,23288
VD,20211015010000,23258
VD,20211015010500,23516
VD,20211015011000,23492
VD,20211015011500,23304
VD,20211015012000,23277
VD,20211015012500,23241
VD,20211015013000,23180
VD,20211015013500,23162
VD,20211015014000,23100
VD,20211015014500,23038
VD,20211015015000,22918
VD,20211015015500,22847
VD,20211015020000,22818
VD,20211015020500,22636
VD,20211015021000,22452
VD,20211015021500,22328
VD,20211015022000,22297
VD,20211015022500,22287
VD,20211015023000,22274
VD,20211015023500,22322
VD,20211015024000,22455
VD,20211015024500,22521
VD,20211015025000,22520
VD,20211015025500,22467
VD,20211015030000,22338
VD,20211015030500,22106
VD,20211015031000,22190
VD,20211015031500,22425
VD,20211015032000,22505
VD,20211015032500,22514
VD,20211015033000,22459
VD,20211015033500,22493
VD,20211015034000,22546
VD,20211015034500,22565
VD,20211015035000,22574
VD,20211015035500,22587
VD,20211015040000,22453
VD,20211015040500,22162
VD,20211015041000,22162
VD,20211015041500,22153
VD,20211015042000,22144
VD,20211015042500,22248
VD,20211015043000,22363
VD,20211015043500,22479
VD,20211015044000,22657
VD,20211015044500,22892
VD,20211015045000,23376
VD,20211015045500,23734
VD,20211015050000,23797
VD,20211015050500,24172
VD,20211015051000,25045
VD,20211015051500,25606
VD,20211015052000,26058
VD,20211015052500,26749
VD,20211015053000,27170
VD,20211015053500,27648
VD,20211015054000,28129
VD,20211015054500,28554
VD,20211015055000,29036
VD,20211015055500,29559
VD,20211015060000,30124
VD,20211015060500,31047
VD,20211015061000,32038
VD,20211015061500,32683
VD,20211015062000,33060
VD,20211015062500,33348
VD,20211015063000,33445
VD,20211015063500,33564
VD,20211015064000,33805
VD,20211015064500,34044
VD,20211015065000,34231
VD,20211015065500,34388
VD,20211015070000,34196
VD,20211015070500,34425
VD,20211015071000,34838
VD,20211015071500,34767
VD,20211015072000,34793
VD,20211015072500,34766
VD,20211015073000,34742
VD,20211015073500,34745
VD,20211015074000,34748
VD,20211015074500,34843
VD,20211015075000,34951
VD,20211015075500,35016
VD,20211015080000,35102
VD,20211015080500,35367
VD,20211015081000,35515
VD,20211015081500,35471
VD,20211015082000,35425
VD,20211015082500,35443
VD,20211015083000,35383
VD,20211015083500,35221
VD,20211015084000,35163
VD,20211015084500,35114
VD,20211015085000,35072
VD,20211015085500,34991
VD,20211015090000,34806
VD,20211015090500,34637
VD,20211015091000,34502
VD,20211015091500,34456
VD,20211015092000,34276
VD,20211015092500,34216
VD,20211015093000,34066
VD,20211015093500,33975
VD,20211015094000,33786
VD,20211015094500,33781
VD,20211015095000,33722
VD,20211015095500,33617
VD,20211015100000,33459
VD,20211015100500,33414
VD,20211015101000,33236
VD,20211015101500,33179
VD,20211015102000,33125
VD,20211015102500,33039
VD,20211015103000,33070
VD,20211015103500,32959
VD,20211015104000,32879
VD,20211015104500,32860
VD,20211015105000,32780
VD,20211015105500,32663
VD,20211015110000,32566
VD,20211015110500,32539
VD,20211015111000,32652
VD,20211015111500,32749
VD,20211015112000,32658
VD,20211015112500,32597
VD,20211015113000,32498
VD,20211015113500,32556
VD,20211015114000,32547
VD,20211015114500,32524
VD,20211015115000,32488
VD,20211015115500,32326
VD,20211015120000,32267
VD,20211015120500,32321
VD,20211015121000,32234
VD,20211015121500,32094
VD,20211015122000,31886
VD,20211015122500,31867
VD,20211015123000,31851
VD,20211015123500,31776
VD,20211015124000,31656
VD,20211015124500,31614
VD,20211015125000,31626
VD,20211015125500,31554
VD,20211015130000,31569
VD,20211015130500,31668
VD,20211015131000,31707
VD,20211015131500,31742
VD,20211015132000,31663
VD,20211015132500,31642
VD,20211015133000,31628
VD,20211015133500,31527
VD,20211015134000,31409
VD,20211015134500,31476
VD,20211015135000,31512
VD,20211015135500,31517
VD,20211015140000,31525
VD,20211015140500,31713
VD,20211015141000,31717
VD,20211015141500,31652
VD,20211015142000,31666
VD,20211015142500,31691
VD,20211015143000,31681
VD,20211015143500,31747
VD,20211015144000,31828
VD,20211015144500,31986
VD,20211015145000,32120
VD,20211015145500,32217
VD,20211015150000,32443
VD,20211015150500,32504
VD,20211015151000,32631
VD,20211015151500,32974
VD,20211015152000,32957
VD,20211015152500,33099
VD,20211015153000,33240
VD,20211015153500,33490
VD,20211015154000,33511
VD,20211015154500,33759
VD,20211015155000,33985
VD,20211015155500,34217
VD,20211015160000,34413
VD,20211015160500,34757
VD,20211015161000,34978
VD,20211015161500,35166
VD,20211015162000,35376
VD,20211015162500,35539
VD,20211015163000,35568
VD,20211015163500,35598
VD,20211015164000,35658
VD,20211015164500,35709
VD,20211015165000,35850
VD,20211015165500,35959
VD,20211015170000,36053
VD,20211015170500,35998
VD,20211015171000,36094
VD,20211015171500,36415
VD,20211015172000,36727
VD,20211015172500,36858
VD,20211015173000,36893
VD,20211015173500,36936
VD,20211015174000,36939
VD,20211015174500,37036
VD,20211015175000,37101
VD,20211015175500,37077
VD,20211015180000,37057
VD,20211015180500,37111
VD,20211015181000,37035
VD,20211015181500,36914
VD,20211015182000,36705
VD,20211015182500,36480
VD,20211015183000,36404
VD,20211015183500,36182
VD,20211015184000,36013
VD,20211015184500,35843
VD,20211015185000,35657
VD,20211015185500,35328
VD,20211015190000,34968
VD,20211015190500,34962
VD,20211015191000,34803
VD,20211015191500,34584
VD,20211015192000,34331
VD,20211015192500,34164
VD,20211015193000,33960
VD,20211015193500,33668
VD,20211015194000,33386
VD,20211015194500,33370
VD,20211015195000,33258
VD,20211015195500,33021
VD,20211015200000,32862
VD,20211015200500,32882
VD,20211015201000,32712
VD,20211015201500,32512
VD,20211015202000,32339
VD,20211015202500,32055
VD,20211015203000,31873
VD,20211015203500,31830
VD,20211015204000,31503
VD,20211015204500,31170
VD,20211015205000,30797
VD,20211015205500,30509
VD,20211015210000,30177
VD,20211015210500,29766
VD,20211015211000,29532
VD,20211015211500,29166
VD,20211015212000,29046
VD,20211015212500,28901
VD,20211015213000,28603
VD,20211015213500,28373
VD,20211015214000,28134
VD,20211015214500,27811
VD,20211015215000,27506
VD,20211015215500,27278
VD,20211015220000,26967
VD,20211015220500,26728
VD,20211015221000,26355
VD,20211015221500,26059
VD,20211015222000,25730
VD,20211015222500,25499
VD,20211015223000,25422
VD,20211015223500,25375
VD,20211015224000,25212
VD,20211015224500,25061
VD,20211015225000,24920
VD,20211015225500,24699
VD,20211015230000,24488
VD,20211015230500,24443
VD,20211015231000,24322
VD,20211015231500,24084
VD,20211015232000,23895
VD,20211015232500,23738
VD,20211015233000,23642
VD,20211015233500,23709
VD,20211015234000,23641
VD,20211015234500,23590
VD,20211015235000,23462
VD,20211015235500,23387
VD,20211016000000,23256
VD,20211016000500,23285
VD,20211016001000,23175
VD,20211016001500,23064
VD,20211016002000,23039
