donor_id,donation_amount,donation_date,account_type,donation_source
0014T000004x9aw,25,2022-03-24,Core,Website
0014T00000OMn3j,25,2022-02-28,Core,Website
0014T00000EHBED,25.75,2021-01-01,Core,Ads
0014T000004x9aw,25,2022-04-24,Core,Website
0014T00000Ayy4m,20,2021-01-10,Core,Website
0014T00000OzeaC,25,2022-01-20,Core,Ads
0014T000004yvYv,70,2022-02-19,Core,Website
0014T00000N8PWq,103,2022-03-05,Core,Website
0014T00000EHBED,25.75,2021-02-01,Core,Ads
0014T00000Ozsrq,19.57,2022-05-24,Core,Ads
0014T000004x9aw,25,2022-05-24,Core,Website
0014T00000OzynK,25.75,2022-02-27,Core,Website
0014T000004xOkJ,30,2021-01-09,Core,Website
0014T00000N6mFp,51.5,2021-12-17,Core,Ads
0014T00000Ayy4m,20,2021-05-10,Core,Website
0014T00000OzeaC,25,2021-12-20,Core,Ads
0014T00000AoHbd,103,2021-02-28,Mid-Level,Website
0014T00000EHBED,25.75,2021-03-01,Core,Ads
0014T000004xOkJ,30,2021-02-09,Core,Website
0014T00000Ayy4m,20,2021-06-10,Core,Website
0014T00000Ao4NP,5,2021-03-30,Core,Ads
0014T00000EHBED,25.75,2021-04-01,Core,Ads
0014T00000Ayy4m,20,2021-07-10,Core,Website
0014T00000Ao4NP,5,2021-04-30,Core,Ads
0014T00000EHBED,25.75,2021-05-01,Core,Ads
0014T000008UFjM,80,2022-02-11,Core,Ads
0014T00000Ayy4m,20,2021-08-10,Core,Website
0014T00000Ao4NP,5,2021-05-30,Core,Ads
0014T00000N8ZAo,51.5,2022-05-08,Core,Website
0014T000008UFjM,80,2022-03-11,Core,Ads
0014T00000Ao4NP,5,2021-06-30,Core,Ads
0014T000004xBjC,50,2022-02-19,Core,Website
0014T00000Qckva,25,2022-05-08,Core,Ads
0014T000008UFjM,80,2022-04-11,Core,Ads
0014T00000Ao4NP,5,2021-07-30,Core,Ads
0014T000004kKff,98,2022-02-19,Mid-Level,Email
0014T000008UFjM,80,2022-05-11,Core,Ads
0014T00000OzmXu,19.57,2022-04-22,Core,Ads
0014T00000Fx05s,25.75,2021-02-18,Core,Ads
0014T00000MU3MZ,10,2022-04-08,Core,Ads
